Parcel_No,fulladd,REALKEY,HOMEEXEMPT,CENSUS_CAT,X,Y
I56K   005,0 Chandler St,15342,S0,B-2,-82.93621627,34.3633977
I56K   005 001,0 Leard St,20744,S0,B-2,-82.9358946,34.36261762
I56L   005,0 Chandler Pl,15372,S0,B-2,-82.9354478,34.3636418
I56L   006,0 Chandler St,15373,S0,B-2,-82.93537182,34.363275
I56L   006 001,,20709,S0,B-2,-82.93494302,34.36352372
I56L   007,0 Chandler St,15374,S0,B-2,-82.93518063,34.36284221
I56L   008,30 Chandler St,15375,S0,B-2,-82.93456137,34.36307645
I56L   009,26 Chandler St,15376,S0,B-2,-82.93476892,34.36232083
I56L   010,332 Vickery St,15377,S0,B-2,-82.93238106,34.36227967
I56L   011,145 Oak St,15378,S1,R-1,-82.93134001,34.36292884
I56L   012,129 Oak St,15379,S0,R-1,-82.93107762,34.36295255
I56L   013,113 Oak St,15380,S0,R-1,-82.93082544,34.36303551
I56L   014,731 N Forest Av,15381,S0,R-1,-82.929661,34.36274106
I56L   015,0 N Forest Av,15382,S0,B-2,-82.92920878,34.36316599
I56L   016,0 Oak St,15383,S0,B-2,-82.92958296,34.36318842
I56L   017,41 Oak St,15384,S0,R-1,-82.93026585,34.36303404
I56L   018,382 Vickery St,15385,S1,R-1A,-82.93306435,34.36270051
I56L   019,402 Vickery St,15386,S0,R-1A,-82.93335198,34.36289531
I56L   020,420 Vickery St,15387,S1,R-1A,-82.93359548,34.36314143
I56L   021,54 Murfee Ln,15388,S0,R-1A,-82.93314343,34.3635098
I56L   022,102 Muurfee Ln,15389,S0,R-1A,-82.93285926,34.36320599
I56L   023,200 Oak St,15390,S0,R-1A,-82.9325513,34.36295034
I56L   024,134 Oak St,15391,S1,R-1A,-82.93143462,34.36343852
I56L   025,129 Murfee Ln,15392,S0,R-1A,-82.93220149,34.36338726
I56L   026,0 Murfee Ln,15393,S0,R-1A,-82.93236262,34.36365207
